District,Year,Crop,Season,Area,Production,Yield,Yield_Lag1,Yield_Lag2,Yield_3yr_Avg,Yield_3yr_Std
Ahilyanagar,2000,Rice,Kharif,5500.0,3800.0,0.6909090909090909,1.4035087719298245,1.3214285714285714,1.1386154780891622,0.38989107026188147
Ahilyanagar,2000,Safflower,Rabi,30400.0,14500.0,0.4769736842105263,0.5124223602484472,0.6166666666666667,0.5353542370418801,0.07261498169678744
Ahilyanagar,2000,Sesamum,Kharif,1100.0,200.0,0.18181818181818182,0.2222222222222222,0.3333333333333333,0.24579124579124578,0.07845912591064677
Ahilyanagar,2000,Sesamum,Rabi,400.0,100.0,0.25,0.25,0.25,0.25,0.0
Ahilyanagar,2000,Small_millets,Kharif,2700.0,1500.0,0.5555555555555556,0.8333333333333334,0.8333333333333334,0.5555555555555556,0.0
Ahilyanagar,2000,Soyabean,Kharif,7200.0,6200.0,0.8611111111111112,1.3866666666666667,1.1956521739130435,1.1478099838969404,0.2660240907380003
Ahilyanagar,2000,Sunflower,Kharif,10500.0,5300.0,0.5047619047619047,0.3482142857142857,0.30434782608695654,0.3857746721877156,0.10535434355928164
Ahilyanagar,2000,Sunflower,Rabi,7800.0,4000.0,0.5128205128205128,0.5681818181818182,0.5543478260869565,0.5451167190297626,0.02881195126944653
Ahilyanagar,2000,Sunflower,Summer,200.0,100.0,0.5,0.6666666666666666,0.6666666666666666,0.611111111111111,0.09622504486493759
Ahilyanagar,2000,Urad,Kharif,3400.0,1800.0,0.5294117647058824,0.25,0.4642857142857143,0.41456582633053224,0.14619091629687783
Ahilyanagar,2000,Wheat,Rabi,94700.0,135800.0,1.4340021119324182,1.4078740157480314,1.2395498392282958,1.3604753223029151,0.10553624351462258
Ahilyanagar,2001,Arhar_Tur,Kharif,16700.0,5400.0,0.32335329341317365,0.49214659685863876,0.5210526315789473,0.4455175072835866,0.1067799656946232
Ahilyanagar,2001,Bajra,Kharif,194400.0,82000.0,0.4218106995884774,0.5743636921189819,0.5740502253702511,0.5234082056925701,0.08798616084520912
Ahilyanagar,2001,Castor_seed,Kharif,200.0,100.0,0.5,0.4,0.2857142857142857,0.3952380952380952,0.10722219284950193
Ahilyanagar,2001,Cottonlint,Kharif,13500.0,16700.0,1.237037037037037,1.6305732484076434,1.5066666666666666,1.458092317370449,0.20121453220914712
Ahilyanagar,2001,Gram,Rabi,60000.0,33100.0,0.5516666666666666,0.4967213114754098,0.6256781193490054,0.5580220324970273,0.06471288573665335
